id,objective,theta(0),theta(1)
55.0,0.07500072178207448,1.2507894680133247,4.499281579741361,
56.0,0.07500055047357758,1.2506894451669401,4.499372601084792,
57.0,0.07500041982361527,1.2506020948666632,4.499452090341175,
58.0,0.07500032018224835,1.2505258115450586,4.499521508585755,
59.0,0.07500024418986574,1.2504591930544917,4.499582131780635,
60.0,0.075000186233593,1.250401014894548,4.499635074227966,
61.0,0.07500014203272104,1.2503502077047461,4.499681309051697,
62.0,0.07500010832252989,1.2503058376088547,4.499721686084367,
63.0,0.07500008261314935,1.2502670890495051,4.499756947487692,
64.0,0.07500006300566019,1.2502332497976054,4.499787741394084,
65.0,0.07500004805183219,1.2502036978610085,4.499814633819838,
66.0,0.07500003664716111,1.2501778900518044,4.499838119068955,
67.0,0.0750000279492862,1.2501553520020994,4.499858628818844,
68.0,0.07500002131577413,1.250135669444758,4.499876540054888,
69.0,0.07500001625666614,1.250118480598848,4.499892181999737,
70.0,0.07500001239829257,1.2501034695198199,4.499905842164678,
71.0,0.07500000945566906,1.2500903602921993,4.49991777163432,
72.0,0.07500000721145074,1.2500789119580382,4.499928189681726,
73.0,0.07500000549987759,1.250068914087924,4.499937287798828,
74.0,0.07500000419453097,1.2500601829131153,4.499945233216196,
75.0,0.07500000319899683,1.2500525579477308,4.499952171976869,
76.0,0.0750000024397435,1.250045899038892,4.4999582316207425,
77.0,0.07500000186069239,1.2500400837905998,4.499963523528852,
78.0,0.07500000141907344,1.250035005314003,4.499968144970644,
79.0,0.07500000108226929,1.2500305702626948,4.499972180891865,
80.0,0.07500000082540244,1.2500266971169338,4.49997570547593,
81.0,0.07500000062950062,1.2500233146852442,4.499978783507475,
82.0,0.07500000048009431,1.250020360795864,4.499981471563149,
83.0,0.07500000036614823,1.250017781153975,4.499983819051535,
84.0,0.0750000002792458,1.2500155283437253,4.499985869121324,
85.0,0.07500000021296965,1.2500135609566836,4.499987659454413,
86.0,0.07500000016242317,1.250011842830725,4.499989222958538,
87.0,0.07500000012387309,1.2500103423853386,4.499990588372139,
88.0,0.07500000009447294,1.2500090320411539,4.499991780792594,
89.0,0.07500000007205064,1.2500078877130119,4.499992822137532,
